"blogid","neurodiversity_cure_persons","video_show_movie","vaccine_vaccines_thimerosal","thank_words_miles","beauty_thomas_day","research_university_conference","back_bike_went","store_paper_house","dog_cat_animals","child_children_parents","know_girl_mama","book_read_reading","words_language_use","got_told_time","school_education_students","day_mom_family","time_get_know","genetic_research_environmental","brain_immune_cells","time_know_things","children_aba_treatment","christmas_music_joy","doctor_hospital_pain","church_country_war","kids_special_down","water_trip_car","wakefield_mmr_court","care_disabilities_disability","night_sleep_day","life_love_day","hair_fluffy_white","mercury_chelation_lead","red_blue_phone","post_blog_read","see_research_paper","children_canada_government","food_eat_eating","feeling_sad_tears","people_person_human","study_children_data","little_today_kids","science_article_david","should_point_fact","school_day_kids","research_services_committee","little_down_room","disorder_spectrum_disorders","money_work_job","community_speaks_awareness","police_story_news"
16,0.00441991661537009,0.0107514684272617,0.000436160229611741,0.00312331730970549,0.00654587287602064,0.00952885152433846,0.0103404572128791,0.0159434161127041,0.0165331689830257,0.0152750218690911,0.0161284477148147,0.0357159053278453,0.021628894284236,0.0746233526765269,0.0177146261080597,0.0416628691299258,0.135183212664676,0.00255345550395558,0.00367736584315214,0.0361168117809873,0.00417515048669738,0.0102773602334487,0.0133222757202481,0.00925511040524978,0.00419859049439636,0.0420573515251561,0.00215577590402465,0.0045133034313845,0.0164561804249454,0.035433092341505,0.0221035656899003,0.00251926782166095,0.00941582406190967,0.0200426939418077,0.00104946989791674,0.00193207536744029,0.0114015401710415,0.0235125481879017,0.0239085796052103,0.00514442923178359,0.00731527419098486,0.00455127649533644,0.0814780805719813,0.0680080865196515,0.00929843485660867,0.0264662043544647,0.0249908740341031,0.0169612799574115,0.008876442913761,0.0112772689678808
19,0.00196949677738424,0.013419245057995,0.000795165451256349,0.00517398243224601,0.0021253077390464,0.00455611118837052,0.00568522289943558,0.0416298398765037,0.00512557862448471,0.0137108282328008,0.0095977445380607,0.0233243827993635,0.00647371437345406,0.0842365975763002,0.0058203344509061,0.0656009234559762,0.225031957183427,0.0010146382653907,0.00094000623433783,0.0246067548436363,0.00101631108193391,0.0108791120537048,0.00787599316792204,0.0129596272399302,0.00509612701542268,0.0219412241368736,0.000938812889987448,0.00502554709778011,0.0273596518857625,0.097178543055527,0.0111065422132298,0.000572437122438987,0.00700216200016528,0.0338205805774798,0.000827382031687938,0.000792163159091709,0.0198456472450068,0.0133383143286798,0.0114164669854271,0.0014532936877771,0.0167266562993066,0.00245943416317614,0.0661712403785822,0.0233981258470239,0.00159097844956772,0.0401669971377033,0.00210507496527922,0.00829740956583167,0.00571319641898048,0.00208711579834367
21,0.00312139259279936,0.0113543963072724,0.00626487434783547,0.000938205617599398,0.00341497323760655,0.00826407937893494,0.00532920129531529,0.0117808950174285,0.00927883744225792,0.019655866703262,0.00170008633074036,0.00720011390378423,0.0116353182142481,0.0635525137108998,0.0218560746262497,0.0317202689436158,0.204265785316495,0.0030732236748285,0.00240075834263749,0.0149052386584305,0.00734016228420693,0.00701096870859015,0.0140758646127978,0.00900312975108578,0.00420311652666033,0.0272573788634841,0.00607268586946047,0.00506815371000296,0.010684631068874,0.0139955285334214,0.00713053754996773,0.00763719585306949,0.00332226013847381,0.0146905434427294,0.000843522754191244,0.00167453260942795,0.00741693382024031,0.0103594021493599,0.0389932423330941,0.00535890167211002,0.00619538975050588,0.0160736421720102,0.115593879763746,0.0874240917505786,0.0146492977651045,0.0238586933134876,0.00476931697122363,0.0141900072561126,0.0208818161356834,0.052513069208059
22,0.000465143400995041,0.00714457905898929,0.000314988176856314,0.00179785916526619,0.000533359263424826,0.00101174014679337,0.00154436792622092,0.00610786931044789,0.00177387779844632,0.00895249440381655,0.0021479851027857,0.00443783198802011,0.00478788694170855,0.0331161893049237,0.0121231973689638,0.0477082512186269,0.273513795264675,0.000316580931271942,0.00015012758003409,0.0355697447124605,0.000536955840740139,0.00375584509329964,0.00719158402564301,0.00328282537153321,0.00168879678022288,0.0145768996134116,0.0001568223294061,0.00173346881878372,0.0234207191783844,0.0503191648267049,0.00637197153503385,0.000451548816448745,0.236990907510209,0.0167220696789336,0.000852275367239899,0.000397678451308854,0.0153460680085455,0.022962103693134,0.00571167833137996,0.000608001028940072,0.00382140870171798,0.00108739923900925,0.0590731736187801,0.0376787648655108,0.000565643543901036,0.026677825875222,0.00132357855998217,0.00687876530353391,0.00354046913359244,0.00275771779471988
23,0.000591164771921669,0.00889164041419967,0.00205088614944541,0.00182922284180912,0.00223894309047018,0.0029372029319896,0.0107487023841302,0.0192274767177103,0.00601595152244246,0.00892561056467077,0.0030057167222255,0.010914413858949,0.0418941561645134,0.102418792975553,0.00480512280142483,0.0353527839138814,0.230504401076391,0.000749034410012452,0.000321906418673216,0.069691734016966,0.00206192499196087,0.00902693094786139,0.00653466022671554,0.00238999864242385,0.00192057486958693,0.0293720524076794,0.000966049756698875,0.00290925143773595,0.0477716153586721,0.0498845662283895,0.0117140961922693,0.000661385849502763,0.00233288405417863,0.0157993117259441,0.000939336672960649,0.00109167668254357,0.0257970934901613,0.0174765130716585,0.00884494565937821,0.00241472475072653,0.00807852646175773,0.00141644509588314,0.076648123483947,0.0221205729160001,0.00140750396916836,0.0775588443782761,0.00103809920569773,0.00378536909460773,0.00328048572518788,0.00164157290504661
25,0.00193811880399196,0.00967446268157651,0.00194143911000084,0.001499063185289,0.0041768248461898,0.00580617337511393,0.00950713736297014,0.0228715914696306,0.00934651223834734,0.00534569349912249,0.00953501907339401,0.0107043677042728,0.0206481933854493,0.0766823085928043,0.00582348210182877,0.0413071524215028,0.156558844620443,0.000892051902160582,0.000747709734434141,0.0229102202913516,0.00780278791502115,0.0914606849035336,0.0159098703963888,0.00640851645417905,0.00370681870670412,0.0299760697552248,0.000808532480377412,0.00782487340505347,0.0318008986719024,0.0282987826281986,0.0174611857129543,0.00112479213304344,0.000876994292017805,0.0231803879788304,0.000740299058730938,0.000728145406367094,0.0178258830993856,0.0105804842653192,0.00974077771839507,0.00706474477657735,0.0179202481889845,0.00373075410634858,0.0833834408202618,0.0364738115356406,0.0325980134295416,0.0665299867929429,0.00562285356042313,0.0110984000948149,0.00888761445764438,0.00251698085531841
26,0.00195326762158797,0.0114129985454754,0.00174804430727052,0.00144208989739354,0.00122650317395904,0.00415049418868447,0.00116428754269334,0.0135280606039457,0.00246741526896414,0.017085696644044,0.00261535775956844,0.0184377129495966,0.0185653801053684,0.0543860324470679,0.019959220173148,0.0242894954818751,0.195225083721658,0.00180734317523028,0.00149259449787378,0.104046835454952,0.00542107384988647,0.00349759749420025,0.022004804001344,0.00626181416093345,0.00140061923525266,0.0117330555436862,0.000436899095363963,0.0114691398075852,0.031389664694641,0.028616883162064,0.00653826521994679,0.000983473618907784,0.00154105805993337,0.0175899024910503,0.00144075768660679,0.00108342135010009,0.00585762111313848,0.0210617381086605,0.0613182871318078,0.00438377982976233,0.00413159782556471,0.00512933595086285,0.13708175789119,0.0309057882869048,0.00522914603562425,0.0260150033179654,0.00656608819269799,0.0164661418501112,0.0168291800711855,0.0106121913626648
27,0.00397377438865867,0.0176929530318594,0.000910030235155912,0.00233624606655026,0.00228778228221451,0.0150733621166524,0.00232047016516795,0.0121280800075463,0.00404414680228861,0.0198201963357594,0.00466120501182079,0.0219038272905968,0.0309224175116431,0.0515307199206546,0.0126971492004915,0.0237886871247937,0.131892537829334,0.00337517914329407,0.000624215572348284,0.108232235431722,0.00560054874903291,0.00803743892779202,0.00583888048383238,0.00682555750739035,0.00170875681260814,0.0167800922157031,0.00137730019734663,0.0228353687394551,0.0128107518317067,0.0638038307659277,0.00917830286464173,0.00114899473838391,0.00234924441810821,0.0241144794448148,0.000395442027262551,0.0103248218444534,0.00454684429017696,0.01741610839851,0.0797817341673493,0.00476885286209134,0.00314756128137698,0.00779439835578948,0.109813276346573,0.0140754264758061,0.00661234769672277,0.0395620261795904,0.00268176704505696,0.00779782854637887,0.0298743493422975,0.00878245197526837
29,0.00158010402231389,0.00463749956790302,0.000762822035742057,0.000558805680996555,0.00135550898794988,0.00271778374308581,0.00387567430829654,0.0119748224722514,0.00583666723029946,0.0190583754340477,0.0388288261523428,0.0103978453963074,0.0144030822258039,0.0504471156121719,0.0125213121361022,0.0212303806037189,0.127034802067242,0.000599796867593874,0.0035418848713466,0.159266453705239,0.00049500270466394,0.00668173379703544,0.00338581025260888,0.0075243152614644,0.00313693730064228,0.00930428413244412,0.000538241746024329,0.00146657206787933,0.00844697337242144,0.0545267790896136,0.0150440947286662,0.000932795323755883,0.0220604128363913,0.0278922182511764,0.000693023279781707,0.000318376971670867,0.0194524433699411,0.0290882649922186,0.0510805849104776,0.0042909430669627,0.0190019410993302,0.00208419964941752,0.120411118774347,0.0288884315782753,0.00152901156648223,0.0326078875358941,0.0191329299858472,0.00325916023694026,0.0138207848132151,0.00227516418365576
30,0.00123000669282143,0.0122220919477796,0.000637859553333239,0.00335589806029863,0.0042206612122791,0.00174203563340515,0.00517245771872434,0.0205751235365739,0.00893769540367814,0.00830796126803945,0.00747956641911867,0.00475746225226294,0.0363334269166029,0.0851528370893064,0.00322539078734497,0.104660121533529,0.24289722377307,0.00281403193278248,0.000403537822319135,0.0108749676382511,0.00702761468168187,0.0173874037187694,0.00996117070881055,0.00226969540814026,0.0102658518733816,0.0356156070112129,0.00106247169015851,0.00106115203119037,0.0462196887536757,0.0180345028236777,0.00732655633529616,0.000696621641204622,0.00405943092964374,0.016682326014199,0.00168749020207758,0.000913034155749115,0.017027348349187,0.0175724110548409,0.00464038984525193,0.00249142213698335,0.00852606812060262,0.00113122468488329,0.0680037563240407,0.0487719754025949,0.00214021800206765,0.0700365934151661,0.00418211025221682,0.00500981262376474,0.00305480457923447,0.00214089003877613
32,0.00764118499868431,0.0112888732599945,0.0580057612889114,0.0014934744524871,0.00143724626993703,0.0159056566184926,0.00228831821258094,0.00299873916191743,0.00291514714043456,0.0267261198435048,0.0024074223405149,0.00859492508472858,0.00337389188119668,0.0399115877558403,0.0115361002516781,0.015675117252496,0.175630207807117,0.00989933773322989,0.00440623106143002,0.0242727298290599,0.00936237456580855,0.0136547778170634,0.00475397637753898,0.0243541738594536,0.001551360918794,0.0143155200267943,0.00767214797468376,0.0021166551237824,0.00391525215636685,0.0467655425684967,0.00292212082773782,0.0137061051776791,0.00218371053806805,0.024904340622053,0.000617706880512733,0.00163177597118228,0.00358195455382133,0.00731443597346312,0.0285812412293325,0.0176472357110021,0.00340702459307146,0.0993343112604849,0.152822716829821,0.00794700589477322,0.0208521211233006,0.0123458351152822,0.00429921640649661,0.00903406669814569,0.0166277110744702,0.0153695098862828
33,0.00279772765835234,0.0102557727012506,0.00197241875822347,0.0015728156518671,0.00640069737708904,0.00770125971503805,0.00413631760687292,0.034806350843797,0.0084106683528527,0.0123680502788289,0.00997805310612266,0.0213992290956902,0.00925652452510147,0.054279196536626,0.0037414086377349,0.0713532564063798,0.220761059997693,0.00424938790437529,0.00249412895910168,0.0172920365578643,0.00209422004003285,0.00787123924405565,0.0117457476216693,0.00982346455088862,0.00618528321966253,0.0442484250506169,0.00213334494002669,0.00441647819321811,0.0458380762135419,0.0488594930371982,0.0157747176086097,0.00113397572729995,0.00485742378297759,0.0161999646262837,0.00175854953458242,0.00135435279437465,0.0289893178095045,0.0186970190359697,0.00925424452813405,0.00458389844127184,0.0254449358234687,0.00576009378421931,0.0529030581014123,0.0294543995264909,0.00413112605118832,0.0691891193863488,0.00247930564353319,0.00983856211317951,0.00704527458489203,0.0027085283144871
34,0.00160036339120539,0.0103284094731702,0.00290019492269815,0.00390838882577438,0.00601882474989387,0.00374468620502525,0.00399759167624359,0.0291378650144411,0.0221503591447126,0.0119029405086816,0.0053623291420436,0.00717481650847874,0.025331679802733,0.0490029299405345,0.0161628799651412,0.066198922817087,0.217483552340747,0.00156820882111379,0.00122962490190764,0.0357085047113969,0.00309687042645278,0.0102978081145991,0.00930950309881788,0.00566421706203038,0.00567815641346257,0.0328994905031212,0.0017127023472083,0.00369095955031873,0.0222756850840614,0.0256932538112001,0.0118783710616652,0.00133880376405129,0.00606194784481436,0.0196187475877108,0.00187923037452015,0.0019692086166322,0.020106381794843,0.0251180027112928,0.0201034550824808,0.00385421834272253,0.0187798256963034,0.00406564649826347,0.066651126920744,0.0697562563304483,0.0035256022162772,0.0574758901384534,0.00351847694746379,0.00768997250335758,0.00836577009342597,0.0070113462002278
36,0.00507937783596708,0.00862727665476919,0.0403142272762532,0.000647012587328368,0.00589366090447282,0.0273270857884802,0.000804458157991766,0.00365765065384322,0.00164698772333889,0.0158962596383598,0.00231316334373565,0.0107250957708875,0.00586712852855479,0.0248436829334206,0.00895503949721494,0.0060944809642036,0.131054971272202,0.0157426429950083,0.0155488742331504,0.0116830228741707,0.0134509487858898,0.00180099312309289,0.00727411094557542,0.00372765026714331,0.00277668664187153,0.00415516888393572,0.0561061030344122,0.00775432765280586,0.0043175681624184,0.0119388854006501,0.0028751132699396,0.0281393554806213,0.00128305074680528,0.0299593336376496,0.00634580964473399,0.0036182907521958,0.00201339165713506,0.00534111822823185,0.0200428710661648,0.0701930924844879,0.00306808185761683,0.0834320922735356,0.126952039991691,0.00576233790751229,0.0638326429787676,0.00832643705214325,0.015439317600987,0.0132853848423891,0.0247504004780202,0.0293152955182237
37,0.00224844869433464,0.0265520273910658,0.00185430476778802,0.00148684022257368,0.00362121688797836,0.00271809654129848,0.00355996389838985,0.0163551673007347,0.0117378905990747,0.0079323544568389,0.00477802789379835,0.00790705264152227,0.0106106691230635,0.103061994248223,0.00420496298503236,0.0868874215998504,0.246415815093191,0.000434907375690874,0.000709885077153622,0.0111526703526365,0.00170913398864609,0.00487219797104108,0.00973933451276525,0.00222728313447751,0.00454715450529656,0.0209765541443933,0.000795263835584659,0.00121558899723841,0.0306760544727102,0.017835570267423,0.0214723150870371,0.00215640406718576,0.00672957723397169,0.0394182719950003,0.0014069779655916,0.000815587802544402,0.0103324458637006,0.0175950654585708,0.0100244825822379,0.0010767667572056,0.0286643021366204,0.00328902292464243,0.079706670459296,0.0655047223283327,0.00229326883551082,0.0474969002726216,0.00169044677975188,0.00475785546092405,0.00209309264883708,0.00465197036060122
40,0.000758311727372915,0.0075730110272294,0.00142622873105849,0.00319948104820585,0.00213821764121837,0.00539116892945947,0.00216139230813801,0.0153831674521508,0.00466747492243356,0.0116654794375445,0.0127051956600285,0.009811244115695,0.031026253921026,0.0455115815858519,0.00514169159141874,0.0241398588681856,0.208621671618211,0.0015753211607758,0.00107543072153768,0.0252933339361937,0.00118402935595546,0.0106188904175885,0.0454948033138896,0.00393587664685338,0.0040397627193546,0.0151085276906476,0.00124709331668657,0.0022637546001316,0.0604944853416478,0.0879668427142545,0.0134676253307072,0.000957666405156372,0.00319988811239195,0.0283734518922137,0.001170993608254,0.00128736530927404,0.0201856106223975,0.0338317901275709,0.00810028185872336,0.00312626161500889,0.0152096503591394,0.00318127601366952,0.0800612251238427,0.0243562971138726,0.00871089564733635,0.0825763616582519,0.00176592129734551,0.00530268838986691,0.00838236587180899,0.00513280112242373
42,0.00249965351734832,0.0270453671801654,0.00129533452294588,0.00250762143645422,0.00275871916401233,0.00700256086764277,0.00531973991140804,0.0155579874458014,0.0101927161320807,0.0114948137046245,0.0109476611452588,0.02849116311063,0.0275366995897954,0.108417414327375,0.00417292772642922,0.0390059827139159,0.15394768033464,0.00168128952280464,0.000925854053691024,0.056206275238008,0.00224604582781054,0.0291496469894084,0.00808666162257294,0.00760744289955906,0.00216000595301877,0.0234392736953791,0.000653613693217374,0.00207616984187014,0.0282186694975607,0.039851023724957,0.0143608569141317,0.000613083791585365,0.00465609755772961,0.0398293856078521,0.000958434542095729,0.00178174501035776,0.0150506622187612,0.0258201980029676,0.0104035750505495,0.00225592944925854,0.00879560135708413,0.00404865061062091,0.0861128492150465,0.0325781282384784,0.00823775922939665,0.0623513196227428,0.00384496701782785,0.00461823475026445,0.00944880784055049,0.00373769858231273
43,0.00246441270267248,0.00921772641942666,0.000648171250986438,0.00614776975280463,0.0514468768216445,0.00319364531913347,0.00463559121823038,0.0278183829562282,0.0130971229979724,0.0206000471822245,0.00550790979345692,0.00906104185431974,0.0276411588844982,0.050253901869351,0.00273505822313095,0.0229375130654089,0.196716431209644,0.00304143935086568,0.00237950933303015,0.0483616780893922,0.00400175156768403,0.0073313204910717,0.0161610876779075,0.0110744764469593,0.00172889151930544,0.0212353961560555,0.00169861280742359,0.0248806891382474,0.0200289814884291,0.0454721822800406,0.0220931719961434,0.00349504271674892,0.00492891885708285,0.0292287277595921,0.00212894846897459,0.00720683443065661,0.0180005337101641,0.0243442012291387,0.0416264162443323,0.00316666690914905,0.00464052402233538,0.0051645354094181,0.0706424600570076,0.0108127574369506,0.00195261741085131,0.0507011508643099,0.00484095870396458,0.0101249260827189,0.0100845177871978,0.0132973120357182
45,0.0139322706302374,0.0114224255210005,0.0120164965118735,0.00100881916096698,0.00155464450252206,0.0250913508792658,0.00314710653268341,0.0064089493289651,0.0105836889519292,0.0196537365037252,0.0027287493029577,0.0118463609045441,0.0161370068171472,0.0490879943987551,0.011656437049932,0.0390379282550256,0.109667436130723,0.00257038303478398,0.00205861064508122,0.0758127389650966,0.0188129768653831,0.00348179159699502,0.00250338275410074,0.00296222549079734,0.00431514430781371,0.018262492250789,0.00680305853169071,0.00649508394399425,0.00604411552782435,0.0338050815698272,0.00698347031830116,0.00835708049553719,0.00259756608700355,0.040272863894201,0.00238580281362409,0.000653176895827597,0.0187415888851033,0.00909537413417527,0.0444844469482286,0.0108668249590557,0.00483377701180644,0.0352286639588912,0.179031578444659,0.0118176259253615,0.0161787171696869,0.0255341345172186,0.0125397711347033,0.00816888921135595,0.0278397115856168,0.00548044874321209
