"blogid","children_aba_treatment","know_see_girl","see_research_spectrum","mercury_chelation_treatment","should_fact_point","post_blog_read","vaccine_vaccines_thimerosal","back_little_down","house_room_clean","services_act_bill","car_walk_place","levels_study_children","show_video_music","doctor_hospital_pain","time_know_get","children_canada_government","study_children_data","get_work_today","family_friends_mom","syndrome_down_baby","disabilities_care_disability","people_different_person","words_use_language","conference_blogher_san","birthday_party_happy","police_story_mother","brain_genetic_environmental","court_case_cases","school_students_education","kids_special_needs","kids_fun_play","use_ipad_site","love_thank_miles","day_home_night","back_bike_day","food_eat_eating","research_iacc_health","christmas_year_joy","book_read_books","hair_wear_dog","god_hope_love","get_time_know","speaks_community_awareness","life_love_world","science_david_article","child_children_parents","people_believe_person","wakefield_mmr_andrew","beauty_thomas_went","disorder_spectrum_persons"
22,0.00176509146352203,0.00436319513061438,0.000881876311437717,0.00110320680999824,0.073425369152247,0.0143303188726102,0.00190795798642109,0.0821890713487349,0.022484400951708,0.00276533898056744,0.0263588588311809,0.000861196393575648,0.0119906748137806,0.00747916947831401,0.294749375478143,0.00104124205211588,0.00299187868567531,0.00278127815220321,0.0193476458796999,0.0022943033899273,0.00281739642277034,0.0141213081621082,0.0556862729992539,0.00158017096104074,0.00897471961688195,0.00128876805734465,0.00112974918656424,0.000276009139380546,0.0148682978197998,0.00117320675457924,0.0177229598696126,0.00453619825073286,0.00167368158787857,0.0565195346336595,0.00902894537722188,0.0272120576592991,0.00193423696980197,0.00477237995050378,0.0120168701659477,0.0113220602081804,0.00272612355722797,0.0751640858448613,0.00403895797922347,0.0651139905641967,0.0013576662465138,0.0189186162792269,0.00598514961061513,0.000176866935588155,0.0020325875299816,0.000719681497526741
23,0.00094170114732508,0.00352694124080327,0.000497314424698964,0.000516511627114028,0.0921542491205214,0.00869581000456001,0.000618968442028144,0.0375161544191457,0.0105971540141592,0.00912252925555606,0.0160710002428809,0.00144508265778028,0.0104645177391383,0.0347763771259893,0.138532371103411,0.00869717523387293,0.00169515464601375,0.00090643429800275,0.0519748475768862,0.00373757807729931,0.260138533055822,0.0089726068000575,0.00679935919826697,0.00507597988605625,0.00377904568378022,0.00517105247597254,0.000919949567436982,0.00121354820396628,0.00517230146415163,0.00250912652092901,0.00621706886616576,0.00988985952337997,0.00181121422220979,0.0178245953853126,0.00150997836357042,0.0113716879751574,0.0038804263269761,0.00734574598602717,0.0160564114535092,0.00736851061386354,0.00382307005076519,0.054667187624993,0.00903551456717426,0.07756744602274,0.00184708508064209,0.021844577581095,0.0114783038564651,0.000439141136325567,0.0032090855185958,0.000573714591406586
25,0.00479797484605269,0.00235682272021541,0.000918862044612916,0.00181692110429109,0.132791201247389,0.0131884464602861,0.00177138988647175,0.0369695635939648,0.014932605573438,0.0101361537294647,0.010041303909026,0.000808000285381554,0.00841798305533593,0.022540527635595,0.189769063017715,0.000752252991965577,0.00546403379830757,0.00477602434141516,0.0161908651340415,0.000941276888875684,0.0303830238400876,0.064471696645864,0.025169761576234,0.00128949850006909,0.00419991693142136,0.00499210206188804,0.00272055338426456,0.000430246758154635,0.0339246643432611,0.000820633748732203,0.00678340223140699,0.00908153998465038,0.0022766064610151,0.045675997659956,0.000827665024886762,0.00571211387281133,0.00318172606592796,0.00495946151001426,0.0203742236363617,0.00751726181142821,0.00638034807928512,0.100692919371141,0.0182568892005846,0.0451739343989028,0.00304684591589231,0.0344533834227548,0.0326244070131059,0.000597902500148182,0.000537798151954766,0.00406220363395002
26,0.00560678209414216,0.00803158095904251,0.00045717783995833,0.000841172794320731,0.106644991612086,0.0184306620229571,0.000969325433862831,0.0529942670062038,0.0092653561335274,0.00611907984445846,0.0161165786532038,0.000505271709402149,0.0176980741482761,0.00570388358675158,0.152351363398643,0.0111423773484228,0.00304912603279231,0.00150623425670521,0.020071950061676,0.0027855007118006,0.0322262208884477,0.0851811759734933,0.0303686980942763,0.0127651810521346,0.00737073336088198,0.0100187736513933,0.00316961177724929,0.00112052908605581,0.0168151548332504,0.00166704569019102,0.00558844509909049,0.00685489232138727,0.00250935204013725,0.0237225031986425,0.00182769000578363,0.00524607901145235,0.0138804061938438,0.00487151031746905,0.0306188710251868,0.00575909326008433,0.00361247900879607,0.0828186549094637,0.0344484970607972,0.0713176186570871,0.00502793845212052,0.034319980740957,0.0200792669697392,0.000513460206854904,0.00207813551028538,0.00391124595521506
27,0.000301690952188769,0.0040518349131313,0.000303916066458001,0.000301926904705778,0.0343827513763102,0.058994110308076,0.000568310339694421,0.0954694816191921,0.0224161297010704,0.00113051336640252,0.016520735670447,0.000193978766686357,0.00660476019817823,0.00627353472599374,0.197048877484258,0.000383936887161527,0.0008336379415429,0.00314154683527812,0.0147002761774957,0.00332635172854137,0.00190394801023799,0.0029507688318523,0.0039070351786428,0.0058983338053299,0.0087619561931524,0.00102508063895374,0.000465403747393495,0.000165908292632944,0.00260280613725765,0.000986328902987673,0.00657565311486347,0.0144325578579244,0.208228935605727,0.0242457768810909,0.00141430382577463,0.0116175460079744,0.000488636826726902,0.00597656626774065,0.0079648156890988,0.0133582384207336,0.00654104529230283,0.114739919155438,0.00300940725580333,0.0699187823585553,0.000754799438346412,0.00617507900872405,0.00770638837933063,0.000115573945939543,0.000706238047595244,0.000413864919056187
29,0.00647739187584725,0.00295971710104757,0.000634883043112339,0.00110158254592778,0.0706206673591983,0.0125852571105729,0.00062834732846536,0.0840871341338591,0.0284440388652095,0.00285569542144668,0.0303241486994753,0.0015348074217254,0.0141180871762028,0.00908717945602385,0.2348466394557,0.000661627946429313,0.00288773868198403,0.00200845390124091,0.0465472150668678,0.00256325364838751,0.00174843751750835,0.00390311068266654,0.0513709819529134,0.000832549793778624,0.030527129221378,0.00157537924009531,0.00293180153918475,0.000522504626835975,0.0264789243505893,0.00732328828694095,0.0339279537566973,0.0099196429015992,0.00369794886953558,0.0716041603990192,0.00570345319897452,0.0171388918053937,0.000756116098848524,0.00520966246276667,0.00776508619131767,0.0119656701765519,0.0039258478369652,0.0988014092343151,0.00307602596069151,0.0221560798954697,0.00084999566227336,0.0122178149149362,0.00463307752692849,0.000244835760977307,0.00202567334733016,0.00219268054879375
30,0.00529409935242981,0.00496577492613954,0.00330357671263311,0.000280169355581397,0.0753579034892713,0.0156088735997966,0.00120134444195973,0.0371937787674393,0.00364936249773944,0.00158913611122789,0.0195703834225508,0.000273387557818774,0.016291785642025,0.00942543759932817,0.161442500340175,0.000864924429159885,0.00208190822509279,0.00221889399695676,0.0220158228416069,0.00284128940350646,0.0126940515568965,0.0761590067161497,0.0701868536174873,0.00333871178746686,0.00371925894182172,0.00418467037521154,0.00572414424638113,0.000516731872039262,0.0546947256850977,0.010510317426826,0.00921930045079606,0.00471818331810281,0.00225891088721496,0.0164254735985507,0.00527244480401579,0.0138077992539147,0.00126147870330333,0.00447631592565034,0.0147065192024945,0.0101099961466849,0.00830037337178333,0.123667937186881,0.00366972961569859,0.0908364944444683,0.00575494188562502,0.0220848036441937,0.0285895669166803,0.000194645682180655,0.00240685807753563,0.00503940194640917
32,0.00192033639798017,0.00636770092742313,0.00160823666280815,0.00153292662168589,0.0557944738310489,0.0115801785069113,0.00146849091970752,0.0825281293159933,0.0371983031183352,0.00824903749349321,0.0428633323840537,0.00092181004205442,0.0104534029108968,0.0110719380880362,0.177073001131395,0.00215666090848591,0.00482936458295234,0.0191014325158098,0.042098152444128,0.00386482431122069,0.00349523285125337,0.00764571081293666,0.0117983320168049,0.0141519507358802,0.0231214110341795,0.00288531828032903,0.00464410166402957,0.000905259423474651,0.0140945517672557,0.00672001625891763,0.0186589111361121,0.0117247199608593,0.0025114233405065,0.071988618370381,0.00393422688997621,0.0303746778493447,0.00242724690581119,0.00778665429614829,0.0162705758826543,0.0186059126509934,0.00757458932465098,0.102023442255542,0.00658621073660829,0.0433545382577191,0.00453832362555446,0.01952498555002,0.0112953184039427,0.00225670106573413,0.0036703842808764,0.0027489212570841
33,0.00314863026614866,0.00477339295674992,0.00192569092480351,0.00142930023876727,0.0649595332455052,0.0154564379816958,0.00342656257501915,0.0666385186901608,0.0242010743613717,0.00547184478733762,0.0233831733488889,0.00120582909229762,0.0077511123183653,0.00869467556364287,0.165503455944684,0.00174420454227454,0.00365598212113548,0.00708868626710042,0.0209869638632692,0.00328721335166165,0.00519196883809279,0.0180564419222803,0.0291179854475754,0.00277788716086868,0.0292157939709811,0.00627413979669704,0.00169009928798763,0.00146390290763946,0.0497904084312969,0.0046029877203657,0.0626261502201885,0.00961609140293088,0.00570150751995622,0.0517986182822251,0.00581331646313533,0.0210811543169131,0.00372976056132744,0.0136185412155999,0.00954197533257767,0.0200430322228949,0.005202780352028,0.118633284468578,0.00674656758279955,0.0337604544928772,0.00296993620775053,0.0223286955252133,0.0173420544159277,0.00108514678239816,0.00299812908936598,0.00244890562064796
34,0.0017710078117228,0.019972765439218,0.000120824217469205,6.98728487526683e-05,0.0776322116288032,0.0229363073736114,0.00010626784369688,0.101832820245045,0.00644126621985894,0.0025710143282834,0.00207030375029152,0.000161027880118237,0.00992257656875561,0.0053023870364938,0.189536574073885,0.000103853499829337,0.000945762997521047,0.00115216714146009,0.00701516693065373,0.00657280589625013,0.00983543405719615,0.0752867207320569,0.0281222799209092,0.00106803769416188,0.00604130278501914,0.00416396616417973,0.000163899635897498,5.49914638381727e-05,0.021694699985722,0.0040348661146461,0.00159858954574173,0.000283514816575536,0.0011421009297267,0.00730745823954225,0.000340818494312668,0.00280001074691386,0.00100010137990403,0.000605505329576176,0.00979989506434128,0.00925398120723531,0.000809123804471095,0.169310481835227,0.0245604238318082,0.0627764426845804,0.000209167239530153,0.0109957169292156,0.0857112930148875,4.8543668464903e-05,0.000208352649004179,0.00453529630359416
36,0.00131670277743977,0.00404431022506902,0.000706800758143424,0.00231904984283341,0.0779141394471759,0.0313579265404746,0.00235559369546372,0.0758556475901017,0.0131442533343196,0.00460390245078596,0.0126973162521369,0.00158394323086533,0.0248044126665116,0.00989096918611248,0.258079659957086,0.000666237423138744,0.00149584659540018,0.00585436781000779,0.0197450982601985,0.00538866940412795,0.001299184795808,0.00636194073305228,0.0112656546027175,0.00226440435856457,0.0182937784556011,0.00554302299406799,0.000625695931283044,0.000524932690815415,0.0346436098344686,0.00363239901896459,0.0668906716589189,0.00962559376382971,0.00435169166967728,0.0591010317310682,0.0060130526862426,0.0123161484162527,0.000904478749180706,0.00419233206882901,0.0116872467468531,0.0228039063857175,0.00315965637857619,0.0923516528885868,0.00314175833240151,0.0343415889723048,0.00318326548238079,0.0106893090048036,0.0106124067785782,0.000343692981046902,0.00449232569569314,0.00151871874632243
37,0.0160463535299052,0.00344786566656872,0.00577175399905142,0.0288548331249469,0.098891242496355,0.0290110725593014,0.0388055437878084,0.00986101847858532,0.00262220442637491,0.0186859973707436,0.00596186282837664,0.0082480074132528,0.00867669767207965,0.00348412885057216,0.0915303686200869,0.00248165966985803,0.0267020881260137,0.00186767319390436,0.00985564008144327,0.00124544464314036,0.0089759824791075,0.0163191417918647,0.0117405026294867,0.0627316974716938,0.00187718146918478,0.0226141675356785,0.0201467863555122,0.0348556151943602,0.0235077014062222,0.00214243885657378,0.0025982341379748,0.0100674292730951,0.00087187818070142,0.0063420144979499,0.00130626092856474,0.00385282188068035,0.0479787101067506,0.000687797362436409,0.0117462818383858,0.00394474892124011,0.000858315058015948,0.0223136405709391,0.0405231154552234,0.0141735924039976,0.0964417748059541,0.0323735640270681,0.0241002604589174,0.0509405280812975,0.0011608082009626,0.0107555520817919
38,0.00122852783317847,0.00370799234450354,0.000532310474320877,0.000763388765506117,0.0446789852699774,0.0836650228679864,0.00175021051417377,0.0681967399303166,0.0250382141966782,0.00556194199863271,0.0214785207953827,0.000425241978515745,0.0142248696110564,0.0117000508703006,0.17242893273416,0.00107711182446243,0.00224231666299078,0.00542517388045945,0.0202399019017743,0.00719937876224495,0.00921353308640909,0.00658285470043173,0.0217163493811386,0.0061798616148133,0.0359487760424673,0.0053508623580913,0.0018845809818432,0.000520145525369366,0.00927164227056565,0.127895843209242,0.0161668212807741,0.0269930900676994,0.00347281367239606,0.0324178461237178,0.00332700714217893,0.0262122938004284,0.0018156086442758,0.00524358863459531,0.00681271427904956,0.0146699974655325,0.00292752168194923,0.0742852085854062,0.00721412334534142,0.0275497413949571,0.00134333664007781,0.0171246351174984,0.013086056743795,0.000237198712469014,0.00159429844955354,0.00137681583131189
40,0.000739131230801173,0.0072129874798959,0.000826737143904954,0.000845860304668348,0.0620895402212012,0.0154708274779579,0.00110465277849247,0.0614222599625672,0.0137659771769285,0.00266660146791182,0.0130819618410637,0.00119701725144965,0.0039430921403347,0.0314906452812353,0.117138309415149,0.000711373243538481,0.00162150290294567,0.373433876554036,0.0135370443942022,0.00217567217221443,0.00261590484875019,0.00428952476012361,0.0042568992168923,0.00235010851181536,0.00742426508872946,0.00201323299795294,0.000787867109349532,0.0010233402151994,0.00492365073607446,0.00188044886435331,0.00539088828804283,0.0142798990879803,0.00335393695483757,0.0399827847746769,0.00223483051652639,0.0422388929829735,0.00106544061978186,0.00590752753246554,0.00546672614531479,0.022566535196577,0.00266509875768384,0.0446230344626581,0.0031930279875744,0.0233476098362793,0.00108267551781058,0.0109014800675008,0.0127359678479223,0.000421054243302669,0.00141577566612606,0.00108650072422586
42,0.0018380962040601,0.00540430425399633,0.00253175432342362,0.00167448860697157,0.0724989788350237,0.0238892720455974,0.000671791484770795,0.0585839760585019,0.0358721590086956,0.00425969013067963,0.0232835299306161,0.00105605862316386,0.00864170424955061,0.0187293555865368,0.182408453114595,0.00393175076414044,0.00544495749640321,0.00406238744439143,0.0192764768035611,0.0026389870989707,0.0363361441639881,0.0311194497506972,0.032396618083654,0.00646869497023466,0.00806531029249537,0.0113609140106315,0.0025078016573174,0.00131223060271675,0.00714604930204618,0.00289667869844866,0.00724365964093371,0.00877164790213441,0.00373803207026512,0.0222252725839099,0.00295979210919298,0.0202805628032081,0.00118178031195992,0.00805991087649919,0.0130620851321626,0.0243247647100253,0.0028192101292583,0.087461751902012,0.0123589999723542,0.0528652638176511,0.00330424328480788,0.0281781103904475,0.0336638232608872,0.00114174312767579,0.0458979223812995,0.00415335999743562
