"COMPARISON",2.93
"COMPETENCE",2.97
"COMPETITION",4.53
"COMRADE",5.57
"COMRADESHIP",4.4
"CONCEPT",1.93
"CONFIDENCE",3.4
"CONNOISSEUR",5.2
"CONQUEST",4.03
"CONTENTS",3.57
"CONTEXT",2.13
"CONTRACT",4.5
"CONTRIBUTION",3.67
"CONVENTION",5.07
"COOK ",5.7049
"COOKIES ",6.5246
"COOL ",4.3443
"COPIED ",3.541
"COPYBOOK",4.6
"CORD",6.03
"CORE",5.17
"CORN",6.34975
"CORNER",5.8601
"CORPSE",6.5
"COST",3.44895
"COSTUME",5.8
"COTTAGE",6.5
"COTTON",6.0574
"COULD ",1.4426
"COULDN'T ",1.5738
"COUNT ",3.6393
"COUNTRY ",5.2787
"COURTSHIP",5.3
"COUSIN ",5.1475
"COW ",6.6885
"COWBOY ",6.2787
"COWHIDE",5.4
"CRADLE",6.23
"CRAG",4.77
"CRANIUM",4.53
"CREAM ",5.8033
"CREATOR",3.87
"CREATURE",4.6
"CRIME",4.43
"CRISIS",3.43
"CRITERION",1.83
"CUISINE",5.57
"CUP ",5.8033
"CURLS ",5.5246
"CURLY ",5.6721
"CUSTOM",3.43
"CUT ",4.8361
"CUTE ",3.7049
"DAD ",6.459
"DADDY ",6.2459
"DAFFODIL",6.47
"DALLIANCE",2.43
"DAMSEL",6.03
"DAN ",4.0164
"DANCE ",5.6393
"DARK ",5.1475
"DAVE ",4.2295
"DAWN",6.37
"DAY ",4.8261
"DAYBREAK",6.43
"DAYLIGHT",5.9
"DEAD ",5.2623
"DEAR ",3.2459
"DEATH",5
"DEBACLE",2.1
"DEBBA ",4.0328
"DECEIT",3.3
"DECORATION",5.37
"DECREE",3.3
"DEDUCTION",2.67
"DEED",3.63
"DELIRIUM",4.8
"DELL",3.37
"DELUGE",4.57
"DEMOCRACY",2.47
"DEMON",4.7
"DERELICT",4.6
"DESK ",6.082
"DESTRUCTION",5.27
"DETERMINATION",3.57
"DETONATION",4.57
"DEVELOPMENT",3.07
"DEVIL",5.63
"DEVOTION",3.9
"DIAMOND",6.67
"DICK ",4.1148
"DICTIONARY ",5.9344
"DID ",1.8197
"DIDN'T ",1.6557
"DIED ",4.4918
"DIETY ",4.8525
"DIFFERENT ",2.7213
"DIFFUSION",3.4
"DIG ",5.1311
"DIHT ",5.7049
"DIME ",6.1311
"DINE ",4.7049
"DINNER ",5.6066
"DIRECTION",3.83
"DIRT",6.1
"DISASTER",5.1
"DISCIPLINE",3.57
"DISCLOSURE",2.17
"DISCONNECTION",3.57
"DISCOVERY",4.13
"DISCRETION",2.27
"DISEASE",4.87
"DISHES ",6.2951
"DISPARITY",2.7
"DISPOSITION",2.93
"DISTINCTION",2.7
"DISTRACTION",3.23
"DISTURBER",4.1
"DO ",2.0984
"DOCTOR",6.4131
"DOES ",1.5574
"DOESN'T ",1.7377
"DOG ",6.6674
"DOLE ",2.9508
