doc_id, a_name, avg annotation too long, annotation too long, length of non-highlighted portion too long, not enough words highlighted 
130, 'A3UEAWMRV5YQ6V', 1, 0, 1, 1
140, 'A1DFHAAZXDD3A', 1, 0, 0, 1
140, 'A1DJDT4B5B19Q2', 0, 0, 0, 0
140, 'A1JFZ5EX06Y8YV', 0, 0, 1, 0
140, 'A24EAYGSHOXEGP', 1, 0, 0, 0
140, 'A2UF2FRGVW4T89', 1, 0, 0, 1
143, 'A17LJKQT05HECG', 0, 0, 0, 0
143, 'A1KN3TP3P2NJHC', 0, 0, 0, 0
143, 'A27IABVBUZ9X8Z', 0, 0, 1, 0
143, 'A365D8DBYZQZGT', 1, 0, 1, 1
143, 'AKG7VBOY97HKA', 1, 0, 0, 1
146, 'A1BYZJ3GUK1O5Z', 0, 0, 1, 0
146, 'A207IHY6GERCFO', 1, 0, 0, 0
146, 'A2R07W1GEVTICX', 0, 0, 0, 0
146, 'A2VIJLBSZATX3W', 0, 0, 0, 0
146, 'A31A4YKVSOYRVS', 0, 0, 1, 0
146, 'A39UWTSPMRRYWU', 0, 0, 0, 0
146, 'A3HNWWJXMDLM8L', 1, 0, 0, 1
147, 'A207IHY6GERCFO', 1, 0, 0, 0
147, 'A2BKTSNTGMDGT9', 0, 0, 0, 0
147, 'A35NBUVLJDU499', 0, 0, 0, 0
147, 'A3UEAWMRV5YQ6V', 1, 0, 0, 0
147, 'AUT9J39A2N4LH', 0, 0, 0, 0
148, 'A1BYZJ3GUK1O5Z', 0, 0, 1, 0
148, 'A207IHY6GERCFO', 1, 0, 0, 0
148, 'A24EAYGSHOXEGP', 1, 0, 0, 0
148, 'A2R07W1GEVTICX', 0, 0, 0, 0
148, 'A31A4YKVSOYRVS', 0, 0, 0, 0
148, 'A39UWTSPMRRYWU', 0, 0, 1, 0
148, 'AZPEPBUH22R8D', 0, 0, 0, 0
151, 'A24EAYGSHOXEGP', 1, 0, 0, 0
151, 'A2HXTXD0IMKUN0', 0, 0, 0, 0
151, 'A2QD7QFGCUNF5N', 1, 0, 1, 1
151, 'A39UWTSPMRRYWU', 0, 0, 0, 0
151, 'A3UEAWMRV5YQ6V', 1, 0, 0, 0
152, 'A27PBC5O3Z5ZED', 0, 0, 0, 0
152, 'A2D53MXGGGYMZD', 1, 0, 0, 0
152, 'A3HNWWJXMDLM8L', 1, 0, 0, 1
152, 'APC3O2O8O9XPO', 1, 0, 0, 0
152, 'AY7WOX4UCIBU2', 0, 0, 0, 0
155, 'A207IHY6GERCFO', 1, 0, 0, 0
155, 'A24EAYGSHOXEGP', 1, 0, 0, 0
155, 'A274NFT93QPBGL', 0, 0, 0, 0
155, 'A3UEAWMRV5YQ6V', 1, 0, 0, 0
155, 'AZBM5GUEV7N77', 0, 0, 0, 0
156, 'A1SB15LP2XJVVT', 1, 0, 1, 1
156, 'A1YJKLVJW1FE33', 0, 0, 0, 0
156, 'A207IHY6GERCFO', 0, 0, 0, 0
156, 'A3J9EHZQ9PERAX', 0, 0, 0, 0
156, 'AZBM5GUEV7N77', 0, 0, 0, 0
157, 'A18T7E73TNGOKP', 1, 0, 0, 1
157, 'A1DJDT4B5B19Q2', 0, 0, 0, 0
157, 'A2R07W1GEVTICX', 0, 0, 0, 0
157, 'A2TPJSBIQB82OZ', 1, 0, 0, 1
157, 'A2UF2FRGVW4T89', 1, 0, 0, 1
157, 'A38HFMRXB5Q13M', 0, 0, 0, 0
158, 'A19H6XXGBK1IVI', 0, 0, 0, 0
158, 'A1SB15LP2XJVVT', 0, 0, 0, 0
158, 'A207IHY6GERCFO', 1, 0, 0, 0
158, 'A3J9EHZQ9PERAX', 0, 0, 0, 0
158, 'AZBM5GUEV7N77', 0, 0, 0, 0
161, 'A18T7E73TNGOKP', 1, 0, 0, 1
161, 'A207IHY6GERCFO', 0, 0, 0, 0
